Product Name:,Brand Name,price,final price,discount price,stock,features,Descrption
 Rin Ala Fabric Whitener 500 ml ,Rin,M.R.P: 62.00,Price: 49.00,You Save: 13.00,In Stock,   It removes the toughest stains without damaging the fabricHighly advanced bleach releases oxygen   ," Rin Ala Fabric Whitener 500 ml Rin Ala Fabric Whitener, when added in water, its advanced bleach releases oxygen that removes tough stains giving you whiter clothes. It ensures you feel your confident best in white clean clothes. So go ahead and buy this product online today! "
 Surf Excel Detergent Bar 200 g (Pack of 4) ,Surf,M.R.P: 94.00,Price: 74.00,You Save: 20.00,In Stock,"   Surf Excel Detergent Bar removes dullness from your clothes Gentle on both clothes and your hand Keeps your clothes bright like new, wash after wash   "," Surf Excel Detergent Bar 200 g (Pack of 4) Your whites will be whiter and the colours will be brighter with this Surf Excel Detergent Bar. Known to remove the toughest stains, this detergent bar is gentle on hands & has a good fragrance. Keep your worries at bay with this powerful detergent bar, which shall make harsh stains, dirt, and grime disappear within seconds. So go ahead and buy this product online today! "
 Surf Excel Easy Wash Detergent Powder 4 kg ,Surf,M.R.P: 496.00,Price: 355.00,You Save: 141.00,In Stock,   Surf Excel Easy Wash Detergent Powder removes tough stains easily Ensures whiter whites and glowing colours Dissolves quickly   ," Surf Excel Easy Wash Detergent Powder 4 kg Surf Excel Easy Wash Detergent Powder is a superfine powder that removes tough stains in a jiffy and leaves no residue on your clothes. Being a superfine and fluffy powder, it dissolves easily and reaches the stain and removes it easily. Its engineered formula with a superior technology unleashes the power of 10 hands that is effective in removing toughest of the stains such as those of mud, ink, oil, ketchup, curry stain, and chocolate very easily. So go ahead and buy this product online today! "
 Tide Plus Jasmine & Rose Detergent Powder 4 kg (Get 1 kg Free) ,Tide,M.R.P: 465.00,Price: 340.00,You Save: 125.00,In Stock,   Removes tough stains easilyNatural fragrance   ," Tide Plus Jasmine & Rose Detergent Powder 4 kg (Get 1 kg Free) Add superior whiteness to your fabrics while enhancing its appearance by washing them using Tide Plus Jasmine & Rose Detergent Powder. It keeps the colour of the fabric bright, even after repeated washing and brings life to the old fabrics by keeping them lint-free. This detergent powder makes sure that the stubborn stains are removed effectively while leaving a pleasant fragrance. It helps you get rid of the grime, dirt as well as the germs on your clothes in no time. So go ahead and buy this product online today! "
 Tide Plus Lemon & Mint Detergent Powder 4 kg (Get 1 kg Free) ,Tide,M.R.P: 465.00,Price: 340.00,You Save: 125.00,In Stock,   Removes tough stains easilyNatural fragrance   ," Tide Plus Lemon & Mint Detergent Powder 4 kg (Get 1 kg Free) Keep your clothes shining and free of stains by washing them using Tide Plus Lemon & Mint Detergent Powder. This detergent powder keeps the colour of your fabric bright, even after repeated washing and brings life to the old fabrics by keeping them lint free. It makes sure that the stubborn stains are removed effectively while leaving a pleasant fragrance. It helps you get rid of the grime, dirt as well as the germs on your clothes in no time. So go ahead and buy this product online today! "
 Surf Excel Detergent Bar 100 g ,Surf Excel,M.R.P: 10.00,Price: 9.00,You Save: 1.00,In Stock,"   Keeps your clothes bright like new, wash after washRemoves dullness from within   "," Surf Excel Detergent Bar 100 g Your whites will be whiter and the colours will be brighter with this Surf Excel Detergent Bar. Known to remove the toughest stains, this detergent bar is gentle on hands & has a good fragrance. Keep your worries at bay with this powerful detergent bar, which shall make harsh stains, dirt, and grime disappear within seconds. So go ahead and buy this product online today! "
 Vanish Oxi Action Stain Remover Liquid 400 ml ,Vanish,M.R.P: 105.00,Price: 97.65,You Save: 7.35,In Stock,"   Delivers unbeatable stain removal efficacy that no detergent alone can deliverRemoves the toughest of stains that no washing powder alone can removeWhitens your whites and brightens your coloured garments with its active brightenersUse Vanish easily with both hand wash and machine wash, both direct and diluted, Add Vanish along with your detergent and get dry-clean like results for your everyday clothes in every washAvailable Variants: Vanish Powder- 120g, 240g & 450g, Vanish Liquid- 180ml, 400ml & 800ml See more  "," Vanish Oxi Action Stain Remover Liquid 400 ml Only detergents are not enough for removing tough stains and most of the times the stain remains on the clothes even after a wash with detergent. Get enhanced cleaning first time, every time with Vanish Oxi Action Liquid Stain Remover. With its advance oxygen power, Vanish removes even the toughest dried-on stains, ensuring a stain-free laundry. The liquid is absolutely safe to be used on both coloured and white clothes.Vanish is an expert laundry additive and spot cleaner that specializes in removal of tough stains in only 1 wash with its active oxygen formula.So go ahead and buy this product online today!How to use:Step 1 : Soak or pre-treat with Vanish Step 2 : Add 100ml of Vanish along with your detergentDisclaimer:Despite our attempts to provide you with the most accurate information possible, the actual packaging, ingredients and colour of the product may sometimes vary. Please read the label, directions and warnings carefully before use. "
 Surf Excel Quick Wash Detergent Powder 1 kg ,Surf Excel,M.R.P: 180.00,Price: 162.00,You Save: 18.00,In Stock,   Removes tough stains easilyEnsures whiter whites and glowing colours   ," Surf Excel Quick Wash Detergent Powder 1 kg One product for more than just one kind of stain, Surf Excel Quick Wash Detergent Powder comes with the power of various stain removing agents like bleach, lemons etc. in one product. It brings the perfect wash for multiple stain problems in an easy manner. It removes various stains like those of curry, mud, pickle, grease, and ink. So go ahead and buy this product online today! "
 Vim Dishwash Bar 145 g ,Vim,M.R.P: 10.00,Price: 9.30,You Save: 0.70,In Stock,   This bar is safe on skinLasts longer than ordinary dishwash bars   ," Vim Dishwash Bar 145 g Vim Dishwash Bar has the power of 100 lemons, which helps clean tough grease from utensils easily. It has a unique patented plastic coating at the bottom of the bar which helps prevent it from sagging quickly. So go ahead and buy this product online today! "
 Exo Touch & Shine Anti-Bacterial Round Dishwash Bar 500 g ,Exo,M.R.P: 48.00,Price: 43.00,You Save: 5.00,In Stock,   Exo Touch & Shine Anti-Bacterial Round Dishwash Bar helps to remove food smells This bar is safe on skin Lasts longer than ordinary dishwash bars   ," Exo Touch & Shine Anti-Bacterial Round Dishwash Bar 500 g Exo Touch & Shine Anti-Bacterial Round Dishwash Bar offers ultra-clean dish-washing and superior hygiene. The innovative anti-soggy formula prevents excessive melting of the bar when in contact with water, making this dishwash bar a great value for money. So go ahead and buy this product online today! "
